2026-02-17 23:33:41,490 | INFO | DOMAIN_CONFIG | Cargando configuración de dominios desde: config/domain.yaml
2026-02-17 23:33:41,491 | INFO | DOMAIN_CONFIG | Dominios válidos cargados: {'out_of_scope', 'informacion', 'stock', 'producto'}
2026-02-17 23:33:41,491 | INFO | DOMAIN_CONFIG | Handlers registrados: {'stock': 'stock', 'producto': 'rag_producto', 'informacion': 'rag_info', 'out_of_scope': 'humano'}
2026-02-17 23:33:47,252 | INFO | API | Mensaje recibido: dame direciones
2026-02-17 23:33:47,252 | INFO | AGENT | Procesando mensaje: dame direciones
2026-02-17 23:33:47,252 | INFO | LLM | Interpretando mensaje: dame direciones
2026-02-17 23:33:48,947 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-17 23:33:48,956 | INFO | LLM | Resultado LLM normalizado: {'domain': 'informacion', 'scope': 'single', 'slots': {}}
2026-02-17 23:33:48,956 | INFO | AGENT | Dominio detectado: informacion
2026-02-17 23:33:48,956 | INFO | AGENT | Slot ubicación recibido: None
2026-02-17 23:33:48,956 | INFO | AGENT | Tipo info: None
2026-02-17 23:33:48,956 | INFO | AGENT | Scope: single
2026-02-17 23:33:51,768 | INFO | API | Mensaje recibido: santiago
2026-02-17 23:33:51,768 | INFO | AGENT | Procesando mensaje: santiago
2026-02-17 23:33:51,769 | INFO | LLM | Interpretando mensaje: santiago
2026-02-17 23:33:53,348 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-17 23:33:53,348 | INFO | LLM | Resultado LLM normalizado: {'domain': 'informacion', 'scope': 'single', 'slots': {'ubicacion': 'santiago'}}
2026-02-17 23:33:53,348 | INFO | AGENT | Dominio detectado: informacion
2026-02-17 23:33:53,348 | INFO | AGENT | Slot ubicación recibido: santiago
2026-02-17 23:33:53,348 | INFO | AGENT | Tipo info: None
2026-02-17 23:33:53,348 | INFO | AGENT | Scope: single
2026-02-17 23:33:53,348 | INFO | INFORMACION | Obteniendo información de ubicación: santiago
2026-02-17 23:33:53,348 | INFO | INFORMACION | Texto usuario: santiago
2026-02-17 23:33:53,348 | INFO | INFORMACION | Obteniendo información de ubicación: santiago
2026-02-17 23:33:53,348 | WARNING | INFORMACION | Ubicación no encontrada o archivo inexistente
2026-02-17 23:33:53,349 | INFO | PGVECTOR | PGVECTOR → index=informacion, texto='santiago', top_k=1
2026-02-17 23:33:53,575 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-02-17 23:33:53,661 | INFO | PGVECTOR | PGVECTOR → resultados devueltos (informacion): 1
2026-02-17 23:33:53,661 | INFO | INFORMACION | Resultados Probables: [{'id': 2, 'nombre': 'Santiago', 'direccion': 'Vía de la Cierva, 11 – Pol. del Tambre, 15790', 'telefono': '981 663 001', 'similarity': 0.5019718109386089}]
2026-02-17 23:33:53,661 | INFO | INFORMACION | Candidato seleccionado: None
